log/bal.log:1:started
./bin/bal
read 738 bytes
sum of goals is 1000
lib/src/util.cc:77:  writing: log/goals.json
first: 0
read 0 bytes
skips: BTC-BTC
710 markets loaded
710 markets selected
46 balances loaded
 +--------+-----------------+-----------------+-----------------++---------+---------+---------++-----------------+-----------------+-----------------+-----------------+
 |SYM     |           rawBal|           spot$ |          spotB$ ||    cur% |   goal% |     del%||            cur$ |           goal$ |             del$|             btc$|
 +--------+-----------------+-----------------+-----------------++---------+---------+---------++-----------------+-----------------+-----------------+-----------------+
 |BTC     |       0.03260337|   55642.78000000|       1.00000000||   5.045%|   5.000%|  -0.045%||    1814.14214417|    1797.97621306|     -16.16593111|       0.03260337|
 |AEON    |    1448.85874700|       0.59537775|       0.00001070||   2.399%|   2.500%|   0.101%||     862.61825506|     898.98810653|      36.36985147|       0.01550279|
 |VRC     |    8211.14616007|       0.10572128|       0.00000190||   2.414%|   2.500%|   0.086%||     868.09289873|     898.98810653|      30.89520780|       0.01560118|
 |SPND    |   27387.80922938|       0.03171638|       0.00000057||   2.416%|   2.500%|   0.084%||     868.64229087|     898.98810653|      30.34581566|       0.01561105|
 |LBC     |    4684.29918600|       0.18695974|       0.00000336||   2.435%|   2.500%|   0.065%||     875.77536164|     898.98810653|      23.21274488|       0.01573925|
 |MANA    |    1652.22980014|       0.53250140|       0.00000957||   2.447%|   2.500%|   0.053%||     879.81468930|     898.98810653|      19.17341723|       0.01581184|
 |LOOM    |    6097.66318692|       0.14467123|       0.00000260||   2.453%|   2.500%|   0.047%||     882.15642118|     898.98810653|      16.83168535|       0.01585392|
 |SYS     |    4019.60384212|       0.21978898|       0.00000395||   2.457%|   2.500%|   0.043%||     883.46463248|     898.98810653|      15.52347404|       0.01587744|
 |XTZ     |     208.42006250|       4.24276197|       0.00007625||   2.459%|   2.500%|   0.041%||     884.27671600|     898.98810653|      14.71139053|       0.01589203|
 |TRX     |   16832.09108889|       0.05286064|       0.00000095||   2.474%|   2.500%|   0.026%||     889.75512433|     898.98810653|       9.23298220|       0.01599049|
 |LINK    |      29.19281588|      30.54287837|       0.00054891||   2.480%|   2.500%|   0.020%||     891.63262469|     898.98810653|       7.35548183|       0.01602423|
